threads_count,nanoseconds
2,536571401
2,533684587
2,524662324
2,535380474
2,534177816
2,532273661
2,539564252
2,534698925
2,531085469
2,529068284
3,371039238
3,364609870
3,374437333
3,374394332
3,376190546
3,371697132
3,372744000
3,370684547
3,378849295
3,372341001
4,292931417
4,292088207
4,295250644
4,291189524
4,290491745
4,292268984
4,294369193
4,301506067
4,303160237
4,311649829
5,287902174
5,271441705
5,277419432
5,275471957
5,275711032
5,270283329
5,271217357
5,273782202
5,280892417
5,277756129
6,255296823
6,279201289
6,258171334
6,252150416
6,252294214
6,261373494
6,268576321
6,273243489
6,259421751
6,248188221
7,274058005
7,275186856
7,274292491
7,260311357
7,272243197
7,268181567
7,281561792
7,275276453
7,262374116
7,278586374
8,261374826
8,264347841
8,263933680
8,265317646
8,260109391
8,263016583
8,261451900
8,260842766
8,260908308
8,264135054
9,263658287
9,260237089
9,262166650
9,263811873
9,263865273
9,259456296
9,261479872
9,259202853
9,265231786
9,270487099
10,272000255
10,264311353
10,266770260
10,262895878
10,267451898
10,266382368
10,270571796
10,272150104
10,268224697
10,263105598
11,268178771
11,267267686
11,272877668
11,277736683
11,270069320
11,271882967
11,271240440
11,276638489
11,269533052
11,269011602
12,301757746
12,335589842
12,279636288
12,272851860
12,277092434
12,278416157
12,275324543
12,288257606
12,272943160
12,273929656
