threads_count,nanoseconds
2,531211254
2,353701436
2,770816386
2,411336035
2,1040457996
2,370071024
2,471574132
2,412341424
2,362178355
2,366450464
3,273247015
3,272787343
3,1132396314
3,634674772
3,369907011
3,642122330
3,432811417
3,408557030
3,470912163
3,408811349
4,348335549
4,378477450
4,309165774
4,308068448
4,307498067
4,317209181
4,307837116
4,462200651
4,322178065
4,309004108
5,255587778
5,257030251
5,351712048
5,430522713
5,256058660
5,274586547
5,272509869
5,301997211
5,433595524
5,449086121
6,395545464
6,324937563
6,347752233
6,239027802
6,459453877
6,392742910
6,273899613
6,408037288
6,336648814
6,360276870
7,324099246
7,312222467
7,310638663
7,303005968
7,414331807
7,330884615
7,305216608
7,314055690
7,301024770
7,302011079
8,267927826
8,264099557
8,281100663
8,320424162
8,307431677
8,267663401
8,263951572
8,297168727
8,282502495
8,318781454
9,270122350
9,269263519
9,258818857
9,298056131
9,321161554
9,278591851
9,308672437
9,258131907
9,273384667
9,265678210
10,477634320
10,295063184
10,260221888
10,247909709
10,346289228
10,211464151
10,242372873
10,225295320
10,435992176
10,205571237
11,229942235
11,270499601
11,227337169
11,208880798
11,261127145
11,264675759
11,237749350
11,253826959
11,248418573
11,237481302
12,214107548
12,217370325
12,229775299
12,242008589
12,246700248
12,383825836
12,222860853
12,231966965
12,260398220
12,232273934
