threads_count,nanoseconds
2,3267845305
2,3318252259
2,1697574188
2,3332052921
2,3279910793
2,3313012286
2,3305900037
2,3308001443
2,3314115156
2,3283691412
3,1107024501
3,2231890063
3,2191341938
3,2199317795
3,1736320474
3,1692181599
3,2233648817
3,2209521623
3,2232945594
3,2227378410
4,1620533531
4,872352199
4,1665504309
4,1685028392
4,1684540907
4,1693630003
4,1689312871
4,1684553972
4,1692725616
4,1651847378
5,1356220651
5,1366395637
5,1376286040
5,1353225679
5,1389249953
5,1358130692
5,1335002198
5,1354205180
5,1356986362
5,1400468779
6,1126080175
6,1119019965
6,1130564693
6,1152087187
6,1128481988
6,1149204781
6,1283712575
6,1146252134
6,1151455983
6,1153888625
7,1001961659
7,1029778222
7,1163974872
7,667456115
7,1054508203
7,867680218
7,1029177454
7,1357816654
7,1257951060
7,1352791545
8,1314054148
8,1347659010
8,1336355078
8,1308359877
8,1338428449
8,1371393294
8,1052398991
8,1337611026
8,1247776001
8,1405288805
9,1087240261
9,1231833989
9,1216629212
9,1141324200
9,1215025404
9,1310148146
9,1117325924
9,1219128493
9,1233924598
9,1177267473
10,1370725351
10,1180756919
10,1418039906
10,1366190886
10,1176758851
10,1254441231
10,1315146747
10,1384011373
10,1182586857
10,1329380806
11,1171362463
11,1672303343
11,1374714409
11,1421391630
11,1254566528
11,1099926937
11,1433408213
11,1588885462
11,1653270425
11,1084158869
12,1199828290
12,1526639621
12,1089745010
12,1653272469
12,1700364220
12,1077196152
12,1217434831
12,1704758105
12,1582632690
12,1089403748
