points_count,threads_count,nanoseconds
100000000,2,140325384
100000000,2,140332768
100000000,2,140048948
100000000,2,139556470
100000000,2,139520923
100000000,2,140200752
100000000,2,139660213
100000000,2,139766922
100000000,2,139794354
100000000,2,140585220
100000000,3,94528104
100000000,3,94338952
100000000,3,94717798
100000000,3,94609767
100000000,3,94469665
100000000,3,94338190
100000000,3,94993192
100000000,3,94803338
100000000,3,94913153
100000000,3,94583909
100000000,4,72681848
100000000,4,84537732
100000000,4,80081245
100000000,4,79906590
100000000,4,73795817
100000000,4,74104292
100000000,4,73046158
100000000,4,73412632
100000000,4,73005553
100000000,4,73425416
100000000,5,70366027
100000000,5,68314248
100000000,5,61945744
100000000,5,62449725
100000000,5,61966462
100000000,5,62418366
100000000,5,62003181
100000000,5,63183884
100000000,5,62361199
100000000,5,62253459
100000000,6,74158563
100000000,6,66079468
100000000,6,60129084
100000000,6,61756762
100000000,6,64966140
100000000,6,54418177
100000000,6,62315263
100000000,6,55614550
100000000,6,55615632
100000000,6,55053263
100000000,7,69760927
100000000,7,68846992
100000000,7,69745689
100000000,7,69695045
100000000,7,70917816
100000000,7,69044771
100000000,7,69598906
100000000,7,62159403
100000000,7,67621064
100000000,7,69070740
100000000,8,60922625
100000000,8,62383240
100000000,8,61389256
100000000,8,67543720
100000000,8,61997069
100000000,8,61728318
100000000,8,61487749
100000000,8,61826492
100000000,8,62505940
100000000,8,62688060
100000000,9,55768828
100000000,9,68128281
100000000,9,56705396
100000000,9,56130883
100000000,9,56760097
100000000,9,61122628
100000000,9,57084563
100000000,9,57470934
100000000,9,57721001
100000000,9,56538524
100000000,10,58058710
100000000,10,59179141
100000000,10,57886700
100000000,10,54101065
100000000,10,54391528
100000000,10,53322994
100000000,10,56813057
100000000,10,54268428
100000000,10,62666309
100000000,10,55595434
100000000,11,57229192
100000000,11,51952226
100000000,11,51141793
100000000,11,51530018
100000000,11,51038761
100000000,11,52653414
100000000,11,51298606
100000000,11,50923015
100000000,11,49754885
100000000,11,51668767
100000000,12,56037439
100000000,12,47534953
100000000,12,57556774
100000000,12,46932488
100000000,12,51880211
100000000,12,46634713
100000000,12,46791185
100000000,12,46296201
100000000,12,46535358
100000000,12,46622950
200000000,2,283570067
200000000,2,282634251
200000000,2,281450893
200000000,2,282889297
200000000,2,283284895
200000000,2,283728292
200000000,2,280902950
200000000,2,280368142
200000000,2,280471605
200000000,2,281207137
200000000,3,188538573
200000000,3,188231179
200000000,3,189333757
200000000,3,188618341
200000000,3,188840717
200000000,3,189448801
200000000,3,189023097
200000000,3,188657445
200000000,3,189179530
200000000,3,190991951
200000000,4,147661534
200000000,4,147265195
200000000,4,147854905
200000000,4,146468989
200000000,4,147162493
200000000,4,147012152
200000000,4,147576666
200000000,4,147526382
200000000,4,164428533
200000000,4,146250802
200000000,5,125585890
200000000,5,125899395
200000000,5,125387670
200000000,5,131584013
200000000,5,123829212
200000000,5,125098280
200000000,5,125285360
200000000,5,124169587
200000000,5,126409357
200000000,5,126835952
200000000,6,109728940
200000000,6,117285531
200000000,6,120586691
200000000,6,115682861
200000000,6,116842104
200000000,6,118002519
200000000,6,109788281
200000000,6,117379166
200000000,6,109769546
200000000,6,110915234
200000000,7,130574619
200000000,7,124567018
200000000,7,130659758
200000000,7,130340362
200000000,7,136183656
200000000,7,131909460
200000000,7,129081843
200000000,7,130375818
200000000,7,133281611
200000000,7,129807006
200000000,8,118726470
200000000,8,119709794
200000000,8,118863455
200000000,8,122429190
200000000,8,123200589
200000000,8,122266245
200000000,8,118332285
200000000,8,118975575
200000000,8,118436409
200000000,8,120092088
200000000,9,111406591
200000000,9,112132325
200000000,9,114658719
200000000,9,112099744
200000000,9,113020071
200000000,9,112912601
200000000,9,112589488
200000000,9,112432425
200000000,9,111883861
200000000,9,111551231
200000000,10,102748915
200000000,10,105191393
200000000,10,104979668
200000000,10,103276830
200000000,10,104879621
200000000,10,103586819
200000000,10,104308085
200000000,10,105546436
200000000,10,104159878
200000000,10,104786808
200000000,11,103472435
200000000,11,98552434
200000000,11,98478005
200000000,11,97755156
200000000,11,98620211
200000000,11,99154788
200000000,11,98287029
200000000,11,100656641
200000000,11,105462238
200000000,11,98263585
200000000,12,95154694
200000000,12,94852971
200000000,12,93987215
200000000,12,98001156
200000000,12,103346640
200000000,12,92747081
200000000,12,96132819
200000000,12,92167149
200000000,12,92955750
200000000,12,97339881
300000000,2,480004664
300000000,2,813604088
300000000,2,813909619
300000000,2,813638873
