points_count,nanoseconds
1000000,400
1000000,20
1000000,30
1000000,30
1000000,20
1000000,30
1000000,30
1000000,30
1000000,30
1000000,30
2000000,30
2000000,30
2000000,30
2000000,31
2000000,30
2000000,30
2000000,20
2000000,30
2000000,30
2000000,30
3000000,30
3000000,20
3000000,30
3000000,30
3000000,30
3000000,30
3000000,30
3000000,30
3000000,30
3000000,30
4000000,30
4000000,30
4000000,30
4000000,30
4000000,30
4000000,30
4000000,30
4000000,30
4000000,30
4000000,30
5000000,30
5000000,20
5000000,30
5000000,30
5000000,30
5000000,30
5000000,30
5000000,30
5000000,30
5000000,30
6000000,30
6000000,30
6000000,31
6000000,30
6000000,30
6000000,30
6000000,30
6000000,30
6000000,30
6000000,30
7000000,30
7000000,30
7000000,30
7000000,30
7000000,30
7000000,20
7000000,30
7000000,30
7000000,20
7000000,30
8000000,31
8000000,30
8000000,30
8000000,30
8000000,30
8000000,30
8000000,30
8000000,30
8000000,30
8000000,30
9000000,30
9000000,30
9000000,30
9000000,20
9000000,30
9000000,30
9000000,30
9000000,30
9000000,31
9000000,30
10000000,30
10000000,20
10000000,30
10000000,30
10000000,30
10000000,30
10000000,30
10000000,30
10000000,30
10000000,30
11000000,30
11000000,20
11000000,31
11000000,21
11000000,30
11000000,30
11000000,30
11000000,30
11000000,30
11000000,30
12000000,30
12000000,30
12000000,20
12000000,30
12000000,30
12000000,30
12000000,30
12000000,20
12000000,30
12000000,30
14000000,20
14000000,30
14000000,30
14000000,30
14000000,30
14000000,30
14000000,30
14000000,30
14000000,30
14000000,30
15000000,20
15000000,30
15000000,30
15000000,30
15000000,20
15000000,30
15000000,30
15000000,31
15000000,30
15000000,30
16000000,30
16000000,30
16000000,30
16000000,30
16000000,30
16000000,30
16000000,30
16000000,30
16000000,30
16000000,30
18000000,30
18000000,30
18000000,30
18000000,30
18000000,31
18000000,30
18000000,30
18000000,30
18000000,30
18000000,30
20000000,30
20000000,20
20000000,30
20000000,20
20000000,30
20000000,30
20000000,30
20000000,30
20000000,30
20000000,30
21000000,20
21000000,30
21000000,30
21000000,30
21000000,20
21000000,30
21000000,30
21000000,30
21000000,30
21000000,30
22000000,30
22000000,30
22000000,30
22000000,30
22000000,30
22000000,30
22000000,30
22000000,21
22000000,20
22000000,30
24000000,30
24000000,20
24000000,30
24000000,20
24000000,30
24000000,30
24000000,30
24000000,30
24000000,30
