mmin,mmax,nanoseconds
16777215,33554431,19569342064
16777215,33554431,19535381916
16777215,33554431,19534216995
16777215,33554431,19427421552
16777215,33554431,19433641570
16777215,33554431,19419769886
16777215,33554431,19419757725
16777215,33554431,19423465303
16777215,33554431,19417358889
16777215,33554431,19414292544
8388607,16777215,7637900743
8388607,16777215,7639075474
8388607,16777215,7640454909
8388607,16777215,7639021494
8388607,16777215,7649911819
8388607,16777215,7641508927
8388607,16777215,7636229845
8388607,16777215,7636887733
8388607,16777215,7637358443
8388607,16777215,7646834521
4194303,8388607,3053179902
4194303,8388607,3053943905
4194303,8388607,3053399255
4194303,8388607,3051945799
4194303,8388607,3054508099
4194303,8388607,3055323518
4194303,8388607,3050721426
4194303,8388607,3053505109
4194303,8388607,3055039330
4194303,8388607,3057783008
